Timestamp,People_Count,Risk_Level
2026-03-03 16:42:24.457573,0,LOW
2026-03-03 16:42:24.650804,1,LOW
2026-03-03 16:42:24.836896,1,LOW
2026-03-03 16:42:24.993580,2,LOW
2026-03-03 16:42:25.165200,3,LOW
2026-03-03 16:42:25.310868,4,LOW
2026-03-03 16:42:25.453273,4,LOW
2026-03-03 16:42:25.577465,5,MEDIUM
2026-03-03 16:42:25.707893,3,LOW
2026-03-03 16:42:25.818923,4,LOW
2026-03-03 16:42:25.932272,6,MEDIUM
2026-03-03 16:42:26.064200,6,MEDIUM
2026-03-03 16:42:26.208043,7,MEDIUM
2026-03-03 16:42:26.343914,6,MEDIUM
2026-03-03 16:42:26.459404,5,MEDIUM
2026-03-03 16:42:26.587689,6,MEDIUM
2026-03-03 16:42:26.722369,3,LOW
2026-03-03 16:42:26.855204,2,LOW
2026-03-03 16:42:26.997274,3,LOW
2026-03-03 16:42:27.105614,3,LOW
2026-03-03 16:42:27.226746,3,LOW
2026-03-03 16:42:27.354327,3,LOW
2026-03-03 16:42:27.472570,4,LOW
2026-03-03 16:42:27.597106,3,LOW
2026-03-03 16:42:27.713686,4,LOW
2026-03-03 16:42:27.843082,5,MEDIUM
2026-03-03 16:42:27.968743,2,LOW
2026-03-03 16:42:28.099071,2,LOW
2026-03-03 16:42:28.204249,2,LOW
2026-03-03 16:42:28.306826,3,LOW
2026-03-03 16:42:28.413488,3,LOW
2026-03-03 16:42:28.530395,3,LOW
2026-03-03 16:42:28.649746,3,LOW
2026-03-03 16:42:28.750680,2,LOW
2026-03-03 16:42:28.855191,2,LOW
2026-03-03 16:42:28.974388,2,LOW
2026-03-03 16:42:29.081859,2,LOW
2026-03-03 16:42:29.209630,5,MEDIUM
2026-03-03 16:42:29.322624,2,LOW
2026-03-03 16:42:29.434941,3,LOW
2026-03-03 16:42:29.541904,4,LOW
2026-03-03 16:42:29.651621,4,LOW
2026-03-03 16:42:29.752998,6,MEDIUM
2026-03-03 16:42:29.859002,4,LOW
2026-03-03 16:42:29.970930,5,MEDIUM
2026-03-03 16:42:30.104674,6,MEDIUM
2026-03-03 16:42:30.210239,6,MEDIUM
2026-03-03 16:42:30.312893,4,LOW
2026-03-03 16:42:30.415989,4,LOW
2026-03-03 16:42:30.523847,3,LOW
2026-03-03 16:42:30.637361,1,LOW
2026-03-03 16:42:30.757005,2,LOW
2026-03-03 16:42:30.872057,1,LOW
2026-03-03 16:42:30.978827,2,LOW
2026-03-03 16:42:31.090274,1,LOW
2026-03-03 16:42:31.201248,1,LOW
2026-03-03 16:42:31.312835,1,LOW
2026-03-03 16:42:31.419040,2,LOW
2026-03-03 16:42:31.517839,2,LOW
2026-03-03 16:42:31.619156,1,LOW
2026-03-03 16:42:31.718451,1,LOW
2026-03-03 16:42:31.843708,0,LOW
2026-03-03 16:42:31.959018,3,LOW
2026-03-03 16:42:32.066403,2,LOW
2026-03-03 16:42:32.187422,0,LOW
2026-03-03 16:42:32.299585,0,LOW
2026-03-03 16:42:32.411175,3,LOW
2026-03-03 16:42:32.514894,3,LOW
2026-03-03 16:42:32.619514,2,LOW
2026-03-03 16:42:32.718832,1,LOW
2026-03-03 16:42:32.825358,3,LOW
2026-03-03 16:42:32.936991,1,LOW
2026-03-03 16:42:33.042311,2,LOW
2026-03-03 16:42:33.144982,2,LOW
2026-03-03 16:42:33.243027,0,LOW
2026-03-03 16:42:33.350891,1,LOW
2026-03-03 16:42:33.472044,1,LOW
2026-03-03 16:42:33.584039,1,LOW
2026-03-03 16:42:33.698400,1,LOW
2026-03-03 16:42:33.803214,1,LOW
2026-03-03 16:42:33.918942,1,LOW
2026-03-03 16:42:34.032422,2,LOW
2026-03-03 16:42:34.136897,1,LOW
2026-03-03 16:42:34.243013,1,LOW
2026-03-03 16:42:34.348499,0,LOW
2026-03-03 16:42:34.454140,0,LOW
2026-03-03 16:42:34.553210,2,LOW
2026-03-03 16:42:34.655062,1,LOW
2026-03-03 16:42:34.756484,5,MEDIUM
2026-03-03 16:42:34.866801,2,LOW
2026-03-03 16:42:34.962190,4,LOW
2026-03-03 16:42:35.068371,4,LOW
2026-03-03 16:42:35.162541,5,MEDIUM
2026-03-03 16:42:35.266664,4,LOW
2026-03-03 16:42:35.374478,4,LOW
2026-03-03 16:42:35.483592,5,MEDIUM
2026-03-03 16:42:35.584050,6,MEDIUM
2026-03-03 16:42:35.689617,5,MEDIUM
2026-03-03 16:42:35.785949,4,LOW
2026-03-03 16:42:35.882283,7,MEDIUM
2026-03-03 16:42:35.993433,2,LOW
2026-03-03 16:42:36.097712,3,LOW
2026-03-03 16:42:36.204434,4,LOW
2026-03-03 16:42:36.311872,6,MEDIUM
2026-03-03 16:42:36.410121,6,MEDIUM
2026-03-03 16:42:36.514008,4,LOW
2026-03-03 16:42:36.632882,3,LOW
2026-03-03 16:42:36.734689,4,LOW
2026-03-03 16:42:36.840378,5,MEDIUM
2026-03-03 16:42:36.945034,3,LOW
2026-03-03 16:42:37.047923,4,LOW
2026-03-03 16:42:37.150654,4,LOW
2026-03-03 16:42:37.256401,3,LOW
2026-03-03 16:42:37.355197,5,MEDIUM
2026-03-03 16:42:37.461685,6,MEDIUM
2026-03-03 16:42:37.564688,3,LOW
2026-03-03 16:42:37.670640,1,LOW
2026-03-03 16:42:37.772315,1,LOW
2026-03-03 16:42:37.872207,2,LOW
2026-03-03 16:42:37.961518,2,LOW
2026-03-03 16:42:38.069861,2,LOW
2026-03-03 16:42:38.186189,1,LOW
2026-03-03 16:42:38.303883,1,LOW
2026-03-03 16:42:38.419606,4,LOW
2026-03-03 16:42:38.543723,5,MEDIUM
2026-03-03 16:42:38.665701,3,LOW
2026-03-03 16:42:38.800520,6,MEDIUM
2026-03-03 16:42:38.968235,2,LOW
2026-03-03 16:42:39.138264,3,LOW
2026-03-03 16:42:39.272317,4,LOW
2026-03-03 16:42:39.426550,3,LOW
2026-03-03 16:42:39.532684,0,LOW
2026-03-03 16:42:39.678041,2,LOW
2026-03-03 16:42:39.827679,1,LOW
2026-03-03 16:42:39.938798,1,LOW
2026-03-03 16:42:40.128000,4,LOW
2026-03-03 16:42:40.280217,1,LOW
2026-03-03 16:42:40.402641,1,LOW
2026-03-03 16:42:40.745896,2,LOW
2026-03-03 16:42:40.893296,2,LOW
2026-03-03 16:42:41.007505,2,LOW
2026-03-03 16:42:41.161993,2,LOW
2026-03-03 16:42:41.300926,0,LOW
2026-03-03 16:42:41.426404,1,LOW
2026-03-03 16:42:41.550561,3,LOW
2026-03-03 16:42:41.665854,3,LOW
2026-03-03 16:42:41.795526,3,LOW
2026-03-03 16:42:41.925726,4,LOW
2026-03-03 16:42:42.091918,3,LOW
2026-03-03 16:42:42.232989,1,LOW
2026-03-03 16:42:42.367577,2,LOW
2026-03-03 16:42:42.500955,1,LOW
2026-03-03 16:42:42.626005,2,LOW
2026-03-03 16:42:42.759948,3,LOW
2026-03-03 16:42:42.892863,3,LOW
2026-03-03 16:42:43.049809,3,LOW
2026-03-03 16:42:43.200453,3,LOW
2026-03-03 16:42:43.354086,4,LOW
2026-03-03 16:42:43.555107,2,LOW
2026-03-03 16:42:43.726521,4,LOW
2026-03-03 16:42:43.905987,4,LOW
2026-03-03 16:42:44.132250,2,LOW
2026-03-03 16:42:44.313712,0,LOW
2026-03-03 16:42:44.490790,1,LOW
2026-03-03 16:42:44.659734,0,LOW
2026-03-03 16:42:44.868881,0,LOW
2026-03-03 16:42:45.100856,0,LOW
2026-03-03 16:42:45.348593,0,LOW
2026-03-03 16:42:45.502081,0,LOW
2026-03-03 16:42:45.625912,0,LOW
2026-03-03 16:42:45.776617,0,LOW
2026-03-03 16:42:45.951999,1,LOW
2026-03-03 16:42:46.134785,1,LOW
2026-03-03 16:42:46.287769,2,LOW
2026-03-03 16:42:46.444277,1,LOW
2026-03-03 16:42:46.594028,3,LOW
2026-03-03 16:42:46.735856,3,LOW
2026-03-03 16:42:46.878268,3,LOW
2026-03-03 16:42:47.001586,1,LOW
2026-03-03 16:42:47.257131,3,LOW
2026-03-03 16:42:47.630044,4,LOW
2026-03-03 16:42:47.984726,4,LOW
2026-03-03 16:42:48.248579,6,MEDIUM
2026-03-03 16:42:48.392998,8,MEDIUM
2026-03-03 16:42:48.511479,7,MEDIUM
2026-03-03 16:42:48.657944,7,MEDIUM
2026-03-03 16:42:48.904651,7,MEDIUM
2026-03-03 16:42:49.194061,7,MEDIUM
2026-03-03 16:42:49.355032,5,MEDIUM
2026-03-03 16:42:49.607602,5,MEDIUM
2026-03-03 16:42:49.922967,5,MEDIUM
2026-03-03 16:42:50.298966,7,MEDIUM
2026-03-03 16:42:50.988261,7,MEDIUM
2026-03-03 16:42:51.374285,7,MEDIUM
2026-03-03 16:42:51.731201,7,MEDIUM
2026-03-03 16:42:51.993735,4,LOW
2026-03-03 16:42:52.191293,6,MEDIUM
2026-03-03 16:42:52.371015,6,MEDIUM
2026-03-03 16:42:52.615287,8,MEDIUM
2026-03-03 16:42:52.862872,7,MEDIUM
2026-03-03 16:42:53.074686,6,MEDIUM
2026-03-03 16:42:53.269639,6,MEDIUM
2026-03-03 16:42:53.442328,5,MEDIUM
2026-03-03 16:42:53.657324,5,MEDIUM
2026-03-03 16:42:53.823847,3,LOW
2026-03-03 16:42:54.011691,4,LOW
2026-03-03 16:42:54.384653,5,MEDIUM
2026-03-03 16:42:54.652995,6,MEDIUM
2026-03-03 16:42:54.854355,5,MEDIUM
2026-03-03 16:42:55.031368,7,MEDIUM
2026-03-03 16:42:55.195278,7,MEDIUM
2026-03-03 16:42:55.460195,7,MEDIUM
2026-03-03 16:42:55.712359,9,MEDIUM
2026-03-03 16:42:55.945010,8,MEDIUM
2026-03-03 16:42:56.140735,9,MEDIUM
2026-03-03 16:42:56.356901,8,MEDIUM
2026-03-03 16:42:56.530225,9,MEDIUM
2026-03-03 16:42:56.720743,9,MEDIUM
2026-03-03 16:42:56.957339,8,MEDIUM
2026-03-03 16:42:57.157126,7,MEDIUM
2026-03-03 16:42:57.356481,6,MEDIUM
2026-03-03 16:42:57.535338,8,MEDIUM
2026-03-03 16:42:57.698237,5,MEDIUM
2026-03-03 16:42:57.945305,8,MEDIUM
